BUILDER_NAME;INPUT_FILE;OUTPUT_FILE;GRID_SIZE;ISO_LEVEL;FIELD_ELEMENTS;NUM_THREADS;ELAPSED_TIME;TOTAL_TRIANGLES;OUTPUT_SIZE
Octree;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/010.pts;;64;0.15;10;4;8;7680;
Octree;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/020.pts;;64;0.15;20;4;12;13016;
Octree;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/040.pts;;64;0.15;40;4;31;27344;
Octree;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/080.pts;;64;0.15;80;4;52;53520;
Octree;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/160.pts;;64;0.15;160;4;75;92648;
Octree;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/320.pts;;64;0.15;320;4;78;67036;
Octree;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/642.pts;;64;0.15;642;4;110;61952;
Octree;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/010.pts;;64;0.15;10;8;9;7680;
Octree;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/020.pts;;64;0.15;20;8;16;13016;
Octree;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/040.pts;;64;0.15;40;8;35;27344;
Octree;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/080.pts;;64;0.15;80;8;66;53520;
Octree;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/160.pts;;64;0.15;160;8;96;92648;
Octree;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/320.pts;;64;0.15;320;8;94;67036;
Octree;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/642.pts;;64;0.15;642;8;89;61952;
Octree;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/010.pts;;64;0.15;10;16;9;7680;
Octree;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/020.pts;;64;0.15;20;16;17;13016;
Octree;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/040.pts;;64;0.15;40;16;36;27344;
Octree;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/080.pts;;64;0.15;80;16;68;53520;
Octree;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/160.pts;;64;0.15;160;16;99;92648;
Octree;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/320.pts;;64;0.15;320;16;98;67036;
Octree;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/642.pts;;64;0.15;642;16;116;61952;
Octree;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/010.pts;;64;0.15;10;32;18;7680;
Octree;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/020.pts;;64;0.15;20;32;30;13016;
Octree;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/040.pts;;64;0.15;40;32;61;27344;
Octree;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/080.pts;;64;0.15;80;32;117;53520;
Octree;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/160.pts;;64;0.15;160;32;167;92648;
Octree;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/320.pts;;64;0.15;320;32;158;67036;
Octree;/home/xbahou00/avs/proj2/avs-proj2/scripts/../data/benchmark/642.pts;;64;0.15;642;32;162;61952;
